id,keyword,location,text,target
18022,,," Het zou mooi zijn als we in de toekomst op elektriciteit of waterstof kunnen vliegen en daar moet de hele sector ook zeker in investeren  , zegt commercieel directeur Tim van den Bergh .",ja
15612,,, In 1980 investeerde ik al in windenergie .,ja
20688,,," Vorig jaar zijn we met onze energieco�peratie gestart "" , vertelt Schiphorst . ",nee
2987,,,"ﾑ De uitstoot van CO2 is zeker een factor geworden ﾒ , zegt William Vet , directeur Benelux .",nee
18421,,,187 landen Het klimaatakkoord van Parijs werd in december 2015 ge�ntroduceerd .,nee
18354,,,"74,1 procent van de energiemix in Europa wordt gewonnen uit fossiele bronnen , zoals kolencentrales .",nee
25157,,,A1 Deventer kent sinds 2015 twee windmolens langs de A1 .,nee
6552,,,"Aan de andere kant van de einder , vanaf het zuidelijkste puntje van Arnhem , draaien aan de horizon de wieken van de windmolens die de grens van Nijmegen markeren .",nee
22798,,,"Aan de andere kant zijn er ook negatieve gezondheidsgevolgen te verwachten van bijvoorbeeld biomassacentrales , windmolens en warmtepompen , waarschuwen de ggd ﾒ s.",ja
13009,,,"Aan de andere kant zijn er ook negatieve gezondheidsgevolgen te verwachten van bijvoorbeeld biomassacentrales , windmolens en warmtepompen , waarschuwen de ggdﾒs .",ja
19111,,,"Aan de ene kant zijn er successen geboekt , met het besluit om de kolencentrales te sluiten als meest opvallende maatregel .",ja
4650,,,Aan initiatieven geen gebrek : op het luchthaventerrein is recent een groot zonnepark aangelegd van 64.000 panelen .,nee
20978,,,"Aanvankelijk hadden veel inwoners een houding van ﾑ even kiek ﾒ n wat ut wordt ﾒ . , , Nu zien ze daadwerkelijk iets gebeuren , dat een zonnepark gewoon goede business is .",ja
1364,,,"Aardgas bestaat voor het grootste gedeelte uit methaan , een krachtig broeikasgas .",nee
14248,,,"Aardwarmte in steden is bijzonder ingewikkeld , zegt iedereen die met geothermie bezig is .",ja
1836,,,"Accupakket Als je wilt berekenen wanneer een elektrische auto schoner wordt dan een auto met verbrandingsmotor , kun je niet om het accupakket heen .",ja
13271,,,"Afgelopen week kwamen ze ineens uit de kast : ' Clean energy company Heliogen wil fossiele brandstoffen overbodig maken , ' luidt de claim .",ja
21862,,,Afgelopen zomer waarschuwde het Economisch Instituut voor de Bouw ( EIB ) ook al voor het kostenopdrijvende effect van klimaat - en energiebeleid .,ja
15391,,,Afgelopen zomer waarschuwde het Economisch Instituut voor de Bouw ( EIB ) ook al voor het kostenopdrijvende effect van klimaat- en energiebeleid .,ja
63,,,Afhankelijk van de hoogte gaat het om minstens 70 turbines tot - - bij een keus voor lagere windmolens - - meer dan 130 .,nee
3599,,,Afhankelijk van fossiele brandstoffen De Noorse economie is voor 21 % afhankelijk van fossiele brandstoffen .,nee
14750,,,"Afvalproduct Verarmd uranium is een afvalproduct van de nucleaire industrie , bijvoorbeeld kernreactoren .",nee
26613,,,Air France maakte ook bekend in 2030 de CO2 uitstoot met de helft te willen verlagen ten opzichte van 2005 .,ja
27435,,,Al langer klinkt er kritiek op de aanleg van zonneweides .,ja
14238,,,Al trekt Dago nog een andere conclusie : aardwarmte is nieuw voor de toezichthouder .,nee
8751,,,"Al vijftien jaar experimenteert zijn divisie met waterstof en de daarbij horende brandstofcellen , maar een productie BMW is daar tot dusver niet uit voortgekomen .",nee
3703,,,Al vreest ze nu vooral de rook en overlast van de mogelijk nieuwe biomassacentrale .,ja
26494,,,"Alle vliegtuigen die opstijgen en landen in ons land , waren in 2017 samen goed voor een uitstoot van 1.2 miljoen kilo stikstof .",nee
4248,,,"Alleen Polen , dat voor elektriciteit sterk afhankelijk is van kolencentrales , doet voorlopig nog niet mee .",ja
4329,,,"Alleen Polen doet voorlopig niet mee , omdat het land voor elektriciteit sterk afhankelijk is van kolencentrales .",ja
8403,,,Alleen Pvd A Groen Links raadslid Stephan Reuksen toonde zich een overtuigend voorstander van de regionale uitvoering van het klimaatakkoord .,ja
12380,,,"Allemaal , behalve dan de kerncentrale in Borssele .",nee
27078,,,Allemaal hebben ze geoordeeld dat de Nederlandse Staat eind volgend jaar de CO2 uitstoot met 25 procent moet hebben verminderd ten opzichte van de uitstoot in 1990 .,ja
7282,,,Almelo overweegt op de vrijkomende gronden zonneparken aan te leggen .,ja
4174,,,"Als de dijk bij Borssele instort , beuken golven de kerncentrale plat .",ja
12140,,,"Als er echter al een formele aanvraag ingediend is , zoals voor de biomassacentrale aan de Rieteweg ( het plan van Brouwer , red. ) , dan moeten we die volgens de wet afhandelen .",nee
11453,,,"Als er meer windparken op zee komen , zullen die bij harde wind in de nacht meer stroom leveren dan nodig is .",nee
23145,,,"Als het aan de Californi�r ligt , bouwt Nederland tien kerncentrales en zweren we wind en zon voorgoed af .",ja
18012,,,"Als het moederbedrijf nog investeert in kolencentrales , weegt dat daarom negatief mee in onze beoordeling . ",ja
22276,,,"Als huizen beter worden ge�soleerd , minder fossiele energie gebruiken en meer energie opwekken is dat voor de toekomst het beste .",ja
23040,,,"Als je de CO2 uitstoot van die fabrieken afvangt en opslaat , wordt je uitstoot dus negatief ; je haalt CO2 dan uit de lucht en pompt geen CO2 de lucht in .",nee
24559,,,"Als Nederlanders het advies opvolgen , zou dat zorgen voor 23 procent lagere uitstoot van broeikasgassen van het totale voedingspatroon .",nee
16843,,,"Als ons leven wordt bedreigd , moeten we stoppen met uitstoten van broeikasgassen .",ja
3230,,,Als specialist in de energietransitie juichen wij de welkome vooruitzichten van volledige verduurzaming van het openbaar vervoer van harte toe .,ja
27647,,,"Als uiteindelijk het echte klimaatakkoord wordt gepresenteerd , is er niets meer van euforie te bespeuren .",ja
23682,,,"Als wij allemaal in een elektrische auto gaan rijden , gaat China die produceren .",nee
11771,,,"Als ze sterven , nemen ze die broeikasgassen met zich mee naar de bodem van de oceaan .",nee
4770,,,"Anders dan in West Overijssel , waar de participatie nadrukkelijk wordt benoemd , spreekt de Twentse ﾑ startnota ﾒ voor de RES vooral van communicatie .",nee
13009,,,"Andringa : ﾑ Ben je mede-eigenaar van een windmolen , dan denk je waarschijnlijk bij ieder zwiepgeluid : 10 eurocent , 10 eurocent .",ja
3712,,,"Antwoorden Eigenaar Brouwer erkent ondertussen tegenover Antoinette dat biomassa niet d� oplossing is . , , Maar voor nu wel .",ja
17309,,,Bankgarantie De woordvoerder van de bezwaarmakers eiste ook meer zekerheid dat de windmolens echt verdwijnen na de periode van 25 jaar die is vastgelegd in het bestemmingsplan .,ja
16067,,,"Begin deze maand reageerde Brouwer Biocentrale tegenover de Stentor al op een ander onderzoek , waaruit bleek dat biomassa meer stikstof en CO2 uitstoot dan steenkolen .",nee
22425,,,"Begin deze maand zeiden Europese wetenschappers al dat biomassa , het verbranden van hout in centrales , helemaal niet duurzaam is .",ja
7424,,,Belangen Vereniging Bathmen ( BVB ) ziet meer van die windmolens ( en veel zonneparken ) niet zitten in het buitengebied .,ja
21858,,,BENG heet dat in bouwjargon : Bijna Energie Neutraal Bouwen .,nee
15391,,,BENG heet dat in bouwjargon : Bijna Energie-Neutraal Bouwen .,nee
1039,,,"Benzine , diesel , elektrisch , waterstof , hybrides met �n zonder stekker : Hyundai heeft het allemaal .",nee
2946,,,Bezig met energietransitie Op korte termijn richt Datacadabra zich op de energietransitie .,ja
25166,,,Bij 22 windmolens is 641 hectare aan zonnepark in het buitengebied nodig .,nee
14253,,,Bij aardwarmte vrezen veel mensen voor hogere kosten .,ja
27007,,,"Bij auto 's die niet puur elektrisch zijn of op waterstof rijden , verandert er volgend jaar niets : de bijtelling van 22 procent blijft 22 procent .",nee
26980,,,Bij de kolencentrale werkten zo 'n tweehonderd mensen .,nee
18231,,,"Bij deze vergelijking wordt alleen het gebruik van de infrastructuur meegenomen , zoals de uitstoot van broeikasgassen en het onderhoud dat samenhangt met dit gebruik .",nee
10693,,,"Bij gebrek aan fossiele brandstoffen , was Japan aangewezen op kernenergie om zich te ontwikkelen tot economische grootmacht .",nee
13635,,,"Bij het realiseren van de doelen uit het klimaatakkoord is goede samenwerking tussen alle overheden cruciaal , stellen de provincies .",ja
25168,,,Bij het voorstel is de beschikbare ruimte voor zonnepanelen op daken en zonneparken in stedelijk gebied en op de bedrijventerrein maximaal benut .,nee
11908,,,Bij problemen kunnen netbeheerders de reservecapaciteit alsnog vrijmaken voor de levering aan klanten .,nee
15933,,,Bij pyrolyse wordt biomassa verwarmd tot 500 graden .,nee
5844,,,Bij windmolens en zonnepanelen is het verlies aan energie nihil .,nee
11579,,,Bijna een kwart van de lokale energieco�peraties houdt zich bezig met windenergie .,nee
11174,,,"Bijvoorbeeld in Heeten ( 3,5 hectare ) ligt zo ﾒ n zonnepark .",nee
15880,,,"Binnen zo ﾒ n regio worden de afspraken uit het landelijk klimaatakkoord concreet uitgewerkt , en ingevuld in een Regionale Energie Strategie ( RES ) .",nee
20419,,,Binnen zo ﾒ n systeem moeten elektrische auto ﾒ s en andere batterijen zorgen voor de opslag .,nee
18613,,,Binnen zoﾒn systeem moeten elektrische autoﾒs en andere batterijen zorgen voor de opslag .,nee
4986,,,Biologisch voedsel Tegelijkertijd wil de Commissie helpen bij de aanleg van laadpalen voor schonere elektrische auto 's .,ja
19588,,,Biomassa ( het verbranden van natuurlijk materiaal ) is goed voor meer dan de helft van alle hernieuwbare energie in Nederland .,nee
1593,,,"Biomassa , waar de scheepvaartbrandstof van wordt gemaakt , ligt immers onder vuur .",ja
20389,,,Biomassa geldt volgens EU richtlijnen als hernieuwbare energiebron .,nee
24822,,,Biomassa is een heel brede term : �lle door levende processen gemaakte materialen .,nee
19389,,,"Biomassa Omdat duurzame opwekking van stroom groeide en de productie met kolen afnam , werd er in 2019 voor het eerst meer stroom opgewekt uit duurzame bronnen dan met kolen .",nee
23698,,,Biomassa wordt nu over ��n kam geschoren : biomassa is slecht en zou bijdragen aan biovernietiging .,ja
1991,,,"Biomassacentrales stoten meer CO2 uit dan kolencentrales , blijkt uit onderzoek van adviesbureau DNV GL in opdracht van ministerie van Infrastructuur en Waterstaat .",nee
8167,,,"Bladblazers geven overlast , veroorzaken vervuiling door de enorme CO2 uitstoot en zijn dodelijk voor insecten , zo somt het programma op .",ja
