id,keyword,location,text,target
1,,,Bovendien werd een keiharde belofte gebroken door het gemeentebestuur; er was beloofd dat er nooit meer asielzoekers in het gebouw in Azelo zouden komen.,1
2,,,"Wij vinden het belangrijk dat er vanavond een debat plaatsvindt over de ontstane situatie en realiseren ons dat er daarna hard gewerkt moet worden aan een stabiel stadsbestuur dat kan rekenen op een meerderheid "" , aldus de overige coalitiepartijen .",1
3,,,Algemene conclusie is dat de gemeente op meerdere punten tekort is geschoten bij het handhaven van de vuren .,1
4,,," We herkennen ons niet in de verdachtmakingen "" , aldus de wethouders .",1
5,,,"De gemeente wist dat bouwers zich niet hielden aan de afspraken , maar trad hier niet tegen op .",1
6,,,In een reactie zegt burgemeester Krikke de aanbevelingen van de OVV over te nemen .,1
7,,,Dat debat komt op een moment dat het Haagse gemeentebestuur door verschillende oorzaken onder grote druk staat .,1
8,,,"Groen Links fractievoorzitter Arjen Kapteijns noemde het besluit het vertrouwen op te zeggen "" zwaar "" .",1
9,,,"Eerder werd de penning uitgereikt aan Eric Filemon en Rens Heruer ( 2014 ) , Jochem Myjer ( 2009 ) en oud Rector Magnificus van de Universiteit Leiden Douwe Breimer ( 2006 ) .",1
10,,,"De illegale bewoning van drie voormalige bedrijfspanden in Deventer moet binnen een jaar worden gestaakt , tenzij de gemeente Deventer tussentijds een uitsterfregeling voor de bewoners bedenkt .",1
11,,,Want intussen eiste de gemeente Twenterand dat het gezin Keijzer de bult bouwpuin snel en op eigen kosten zou laten verwijderen .,1
12,,,"De PVV diende ook een motie van wantrouwen in tegen het gehele college , maar die werd weggestemd .",1
13,,,De gemeenteraad van Den Haag heeft geen vertrouwen meer in de wethouders Richard de Mos en Rachid Guernaoui .,1
14,,,"De motie van wantrouwen kreeg steun van onder meer CDA , Pvd A , SP en Christen Unie SGP .",1
15,,,We moeten de komende jaren blijven investeren om onze stad aantrekkelijk te houden .,1
16,,,Het college wil het bedrag van maximaal 56.333 euro voor de realisatie van een nieuw havengebouw opnemen in de begroting voor 2020 .,1
