id,keyword,location,text,target
1,,,"Is er geen sprake van acuut gevaar en gaat het om schade aan de openbare ruimte, zoals een omgevallen boom in de berm, bel dan de gemeente.",0
2,,,In onderstaand dashboard meer informatie over het verloop en de besmettingen per gemeente (klik in onze app halverwege de scrollbar om te scrollen):,0
3,,,In november en december lanceert de Vereniging van Nederlandse Gemeenten in dit kader een videoserie van 5 afleveringen over lokale democratische innovaties onder de titel Thorbecke2024.,0
4,,,"Ook gemeenten kunnen de toekomst niet voorspellen, maar ze moeten hem wel verkennen. ",0
5,,,"Afgaande op regionale media in Utrecht zet de gemeente verkeersregelaars in bij de voetgangersrotonde, maar ook op andere plekken.",0
6,,,"Hij erkende in de rechtszaal dat hij gefrustreerd was, onder meer omdat hij zelf eerder aangifte had willen doen, maar dat volgens hem niet kon.",0
7,,,"Door aangifte te doen, willen we een signaal afgeven. Want dit is niet hoe wij het voor ogen hebben.",0
8,,,"Vandaag deden tientallen boeren in onder meer Zwolle, Deventer, Hengelo en Almelo aangifte tegen minister Schouten van Landbouw.",0
9,,,Wethouder Pieter van Zwanenburg kon zich gedeeltelijk vinden in dit amendement.,0
10,,,Dit amendement werd unaniem aangenomen.,0
11,,,"Daar heb je te maken met interrupties, moties en amendementen.",0
12,,,CDA’er Bert Oude Lansink dient namens coalitiegenoten GB90 en Borne-Nu een amendement in.,0
13,,,"Huishoudens die een verpakkingencontainer krijgen, ontvangen hierover vlak daarvoor een brief waarin staat wanneer de verpakkingencontainer wordt bezorgd.",0
14,,,De verwachting is dat voor de kerstdagen alle verpakkingencontainers zijn bezorgd.,0
15,,,Behalve voor de waarde van zijn woning is Voigt bezorgd om overlast.,0
16,,,"In deze buurten worden pakketjes niet meer aan huis bezorgd, maar moeten bewoners de dozen ophalen bij een centraal pun",0
17,,,Een groep kinderen uit Utrecht is boos.,0
18,,,Zij wordt boos als we ook maar één plastic velletje gebruiken.,0
19,,,Hij zegt dan ook niet boos te zijn.,0
20,,,"Hij zal heel, heel boos zijn als hij vanavond thuiskomt.’",0
21,,,Het zoontje van de vrouw bleef ongedeerd en dat is volgens de burgemeester een wonder.,0
22,,,De politie trof de plantjes aan bij een controle bij een schuur aan de Burgemeester Jacobsstraat.,0
23,,,"Volgens de burgemeester van de gemeente Houthalen-Helchteren, onder Eindhoven, was de ravage enorm.""",0
24,,,De PvdA'er Aboutaleb werd in 2009 benoemd als burgemeester van de stad.,0
25,,,Dinsdag is bekend geworden dat bij een in Drenthe woonachtige docent van het Deltion College in Zwolle ook het coronavirus geconstateerd.,0
26,,,"’s Morgens college, eten in de auto onderweg naar het postkantoor in Almelo. ",0
27,,,Eerenberg heeft zijn naaste collega’s in het college en binnen D66 Enschede de afgelopen dagen op de hoogte gebracht van zijn naderende vertrek,0
28,,,"Carolus Clusius College (1925) is een goede tweede en daarna volgen de panden van de Parkschool en Ichthus, allebei uit 1929.",0
29,,,Het pand wordt hoger dan het was; daar heeft de commissie ook moeite mee.,0
30,,,Maandagavond stond het voorstel inzake ’besluit tot niet vaststellen bestemmingsplan Almelosestraat 68a t/m i Ootmarsum’ op de agenda van de commissie.,0
31,,,"Volgens wethouder Benno Brand die maandagavond een korte toelichting gaf in de commissie, hebben de eigenaren voor de laatste optie besloten.",0
32,,,"Zowel de Commissie Borstlap, die door het kabinet werd ingesteld om te kijken naar de toekomst van werk, als de Wetenschappelijke Raad voor het Regeringsbeleid (WRR) zijn voorstander van gesubsidieerde banen voor mensen voor wie een gewone baan teveel is.",0
33,,,Corona zorgde ook voor sociale druk en leidde tot meer overlastmeldingen door conflicten en verminderde verdraagzaamheid tussen mensen.,0
34,,,Verstandige beleidsmakers proberen conflicten voor te zijn.,0
35,,,"‘Verstandig erfgoedbeleid betekent: conflicten vóór zijn.’""",0
36,,,Ik geloof meer in dialoog dan in debat en ben liever bezig met inhoud dan met imago.,0
37,,,"Een goede democratie heeft drie elementen: politiek, activisme (de status quo uitdagen) en dialoog.",0
38,,,Het heeft geen zin een dialoog te houden met mensen die in een monoloog zijn geïnteresseerd.,0
39,,,"Waar de eerste groep geen ambities heeft om te integreren en gebaat is bij de parken, gaat de tweede groep op zoek naar een eigen woning.",0
40,,,De grootste critici hebben geen vertrouwen in het reguliere onderwijs omdat de ‘intrinsieke motivatie’ van het kind niet serieus wordt genomen.,0
41,,,"De raadsvergadering en installatie zijn live te volgen via de livestream op www.zwolle.nl/gemeenteraad.""",0
42,,,Dat liet hij dinsdagavond weten aan de gemeenteraad.,0
43,,,Dat heeft wethouder Klaas Sloots laten weten op vragen van GroenLinks in de gemeenteraad.,0
44,,,"Maar ik heb dit maandagavond gedeeld in de Zwolse gemeenteraad, en zou graag met andere partijen optrekken.",0
45,,,Het college van B en W legt het Ontwikkelplan voor aan de gemeenteraad voor besluitvorming.,0
