id,text,meer,minder,gelijk,overige
1,"- Groei is alleen dan acceptabel wanneer de geluidsoverlast, gezondheidsoverlast en milieu(over)belasting met gelijke percentages afneemt.
- Het is van belang dat de sector aanzienlijke resultaten behaalt in het terugdringen van alle mogelijke vormen van overlast, ook bij gelijkblijvende vliegtuigbewegingen en daarvoor harde doelstellingen voorgeschreven krijgt. Een resultaatverbintenis dus in plaats van een inspanningsverbintenis.
- De maatstaven die gehanteerd worden bij de metingen en voorspellingen van alle vormen van overlast moeten onafhankelijk worden vastgesteld zonder inmenging van de luchtvaart zelf.  De metingen zouden moeten worden uitgevoerd wederom door onafhankelijke partijen waarbij inmenging van de luchtvaartsector vanzelfsprekend uit den boze is.
- De kosten die de overlastbeperkende maatregelen met zich meebrengen dienen (in ieder geval deels) door de gebruikers van schiphol opgehoest te worden middels accijnzen op brandstof, vliegtaks etc.",1,0,0,0
2,"- Het moet minder worden dan nu, de reden voor mij direct is dat ik sinds 2016 teveel stress ervaar van het geluid van de vliegtuigen. Tevens ervaar ik slaapgebrek door de nachtvluchten. Ook een slecht lucht in huis omdat de ramen dicht moeten blijven om het geluid zoveel mogelijk buiten te houden.
- Er zijn nu dagen dat ik letterlijk gek wordt van de vele vliegtuigen.
- Alle sectoren moeten hun uitstoot terug brengen om de klimaatverandering te beperken, zo ook de luchtvaart, de enige manier om dit te doen op dit moment is het het terugbrengen van het aantal vluchten.
- Meer vluchten zal zorgen voor meer vervuiling van anti-vries, oli?n en de kans op meer kerosinelozingen.
- Zo lang tricresylfosfaten worden gebruikt in motorolie van vliegtuigen, is geen groei van de luchtvaart niet verantwoord.  https://nl.wikipedia.org/wiki/Tricresylfosfaat 
- De leefbaarheid rondom Schiphol staat zwaar onder druk en er is weinig hinderbeperking geleverd. (zie vraag 5)
- Een effectieve bijdrage aan het klimaatvraagstuk kan vooralsnog alleen via volumebeperking (zie vraag 9)
- De WHO (Wereld Gezondheidsorganisatie) heeft heel recent de aanbeveling voor de bescherming tegen geluidshinder verscherpt omdat de negatieve gezondheidsgevolgen groter zijn dan eerder gedacht (zie vraag 5)
- Experts verwachten een negatieve invloed van ultrafijnstof op de levensverwachting van omwonenden van Schiphol. Uit voorzorg is op zijn minst een pas op de plaats alvorens de resultaten van het RIVM (Rijks Instituut voor Milieu) onderzoek bekend zijn (zie vraag 9)
- Er is een gigantische woningbouwopgave. De spanning tussen wonen en vliegen neemt alleen maar verder toe. Er is een keuze nodig, wij kiezen voor wonen. (zie vraag 8)
- De veiligheid van omwonenden van Schiphol is kleiner dan acceptabel wordt gevonden voor risico's van industri?le activiteiten op de grond. (zie vraag 10)",0,1,0,0
3,"- Plafond van 500.000 vliegtuigbewegingen voor vliegtuigen met uitstoot. Na 2020 daling vliegtuigbewegingen met uitstoot en alleen aanvulling tot 500.000 toestaan indien emissievrij.
- voeg vliegverkeer toe aan metingen CO2 uitstoot en pas deze in de plannen van het Parijs-akkoord
- beperk landingsrechten en verhoog de kosten op Europese vluchten waar trein alternatief is (Parijs, Frankfurt, Stuttgart, London et cetera).",0,0,1,0
4,"- rekening gaan houden met effecten op volksgezondheid: geluid, fijnstof, stress, CO2
- aantal vliegbewegingen sterk terugbrengen",0,1,0,0
5,"""Vliegtuigbewegingen"" is achterhaald. Dat komt nog uit de tijd dat alle vliegtuigen erg vervuilende lawaaimakers waren. Er zijn nu nieuwe types die zuiniger vliegen, minder uitstoot hebben en minder herrie maken. Daarom moet het systeem ""Vliegtuigbewegingen"" omgezet worden naar een nieuw systeem waarbij schonere stillere vliegtuigen meer landingen en starts mogen doen dan vervuilende herrieschoppers. Ik heb bijvoorbeeld liever 700000 Embrears en Dreamliners dan 300000 B747 toestellen.",0,0,0,1
6,"* De komende decennia is het onverantwoord om de omvang van het aantal vliegbewegingen op Schiphol toe te laten nemen; een krimp zou meer in de lijn liggen.

* Groei van Schiphol bedreigt de volksgezondheid omdat omwonenden overdag en ?s nachts steeds vaker door het aanzwellende en weer wegstervende geluid van vliegtuigen gehinderd worden en omdat de uitstoot van (ultra) fijnstof en andere schadelijke stoffen toenemen. In 2016 ervoeren 198.000 omwonenden ernstige geluidsoverlast van het vliegverkeer van en naar Schiphol. Schiphol zelf rapporteerde 138.000 ernstig gehinderden; anderhalf keer minder. Ook was de ervaren slaapverstoring in 2016 in werkelijkheid naar schatting 2 keer zo hoog als door Schiphol berekend: plusminus 40.000 in plaats van 19.500. Dat blijkt uit een nieuwe analyse van Hinderbelevingsonderzoeken van GGD?s rondom Schiphol, door de Natuur en Milieufederatie Noord-Holland.

* Groei van Schiphol doet ernstige afbreuk aan de grote offers die van bedrijven en burgers worden gevraagd om de CO2-uitstoot terug te dringen, omdat kerosine voor onbepaalde tijd de belangrijkste brandstof voor vliegtuigen blijft.

* Groei van luchtvaart maakt de Nederlandse economie nog meer van fossiele brandstoffen afhankelijk, wat gezien de steeds alarmerende berichtgeving over de ophanden zijnde klimaatverandering onze economie kwetsbaar maakt.",0,1,0,0
7,"* De leefbaarheid rondom Schiphol staat al decennia onder zware druk en wordt iedere dag nog erger,
  op sommige dagen lijkt het wel een oorlogsgebied.
* Een effectieve bijdrage aan het klimaatvraagstuk kan vooralsnog alleen  via volumebeperking ( zie vraag 9 )
* De WHO heeft heel recent de aanbeveling voor de bescherming tegen geluidshinder verscherpt omdat de 
   negatieve gezondheidsgevolgen groter zijn dan eerder gedacht (zie vraag 5 )
* Experts verwachten een negatieve invloed van ultrafijnstof op de levensverwachting van omwonenden 
   van Schiphol. Uit voorzorg is op zijn minst een pas op de plaats alvorens de resultaten van het RIVM  
   onderzoek bekend zijn. Trouwens ieder weldenkend mens kan zien dat groei een doodlopende weg is.
   Wij zijn niet tegen Schiphol, maar 400.000 bewegingen per jaar is echt het maximum voor Schiphol op 
   deze plek en de negatieve spin off die het heeft voor de ruime omgeving.",0,1,0,0
8,"* Verdere groei t/m 2030 is onnodig voor de economische betekenis van Schiphol (zie vraag 4) en ook niet nodig bij het uitvoeren van de afgesproken Selectiviteit (zie vraag 2).  Vervanging van Europese vluchten door internationale trein biedt bovendien de mogelijkheid om het aantal vluchten te verminderen (zie vraag 3).  Er zijn geen goede redenen voor groei, maar wel veel redenen om de omvang van Schiphol te verminderen. 
* De leefbaarheid rondom Schiphol staat zwaar onder druk en er is weinig hinderbeperking geleverd. (zie vraag 5) 
* Een effectieve bijdrage aan het klimaatvraagstuk kan vooralsnog alleen via volumebeperking (zie vraag 9) 
* De WHO (Wereld Gezondheidsorganisatie) heeft heel recent de aanbeveling voor de bescherming tegen geluidshinder verscherpt omdat de negatieve gezondheidsgevolgen groter zijn dan eerder gedacht (zie vraag 5) 
* Experts verwachten een negatieve invloed van ultrafijnstof op de levensverwachting van omwonenden van Schiphol. Uit voorzorg is op zijn minst een pas op de plaats alvorens de resultaten van het RIVM (Rijks Instituut voor Milieu) onderzoek bekend zijn (zie vraag 9) 
* Er is een gigantische woningbouwopgave. De spanning tussen wonen en vliegen neemt alleen maar verder toe.  Er is een keuze nodig, wij kiezen voor wonen. (zie vraag 8) 
* De veiligheid van omwonenden van Schiphol is kleiner dan acceptabel wordt gevonden voor risico's van industri?le activiteiten op de grond. (zie vraag 10)",0,0,1,0
9,....absurd om aantal vliegbewegingen nog te verhogen na 2020.,0,0,1,0
10,".niet meer maar minder,van wege teveel vliegtuig lawaai en het niet handhaven van de wettelijke normen",0,1,0,0
